"","year","trait","TP","Qsd1Train","Family","Qsd1","correlation","Spearman_Cor","n_test","n_train","fold","trainingProportion"
"144","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.367167419189375,0.352162004844879,68,13,18,40
"145","2021","GE","TP1",0,"Overall",0,0.429312492312632,0.419137466307278,105,40,19,40
"146","2021","GE","TP1",0,"Overall",2,0.275820931492699,0.317547165974307,208,40,19,40
"147","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.432465746541278,0.383021390374332,33,10,19,40
"148","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.231155498293407,0.227108977917088,82,10,19,40
"149","2021","GE","TP1",0,"Scala/DH130910",0,0.180469445608658,0.0285589232957654,38,16,19,40
"150","2021","GE","TP1",0,"Scala/DH130910",2,0.131035724399905,0.151477832512315,57,16,19,40
"151","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.574971836075772,0.676394194041253,34,14,19,40
"152","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.329612016147723,0.385601267350339,68,14,19,40
"153","2021","GE","TP1",0,"Overall",0,0.38271529799286,0.355961020111963,105,40,20,40
"154","2021","GE","TP1",0,"Overall",2,0.17518201086775,0.197751208757808,208,40,20,40
"155","2021","GE","TP1",0,"SY_Tepee/DH130910",0,-0.013636448309176,0.1,35,8,20,40
"156","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0580359677255963,0.0487043023040672,82,8,20,40
"157","2021","GE","TP1",0,"Scala/DH130910",0,0.229834452969023,0.267166979362101,40,14,20,40
"158","2021","GE","TP1",0,"Scala/DH130910",2,0.102205736185005,0.152320456313197,57,14,20,40
"159","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.574829771541022,0.594215795328142,30,18,20,40
"160","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.263067330606581,0.321585692896394,68,18,20,40
"161","2021","GE","TP1",0,"Overall",0,0.379498332384616,0.364068007464234,105,40,21,40
"162","2021","GE","TP1",0,"Overall",2,0.0442328039179524,0.128485211365514,208,40,21,40
"163","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.266900049963685,0.272080088987764,30,13,21,40
"164","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.241534401854412,0.251096527029527,82,13,21,40
"165","2021","GE","TP1",0,"Scala/DH130910",0,0.50680033806968,0.361782835467046,37,17,21,40
"166","2021","GE","TP1",0,"Scala/DH130910",2,0.101395785837112,0.0985869847031372,57,17,21,40
"167","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.478052673321511,0.499069920122552,38,10,21,40
"168","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.0606390606669998,0.124767385272938,68,10,21,40
"169","2021","GE","TP1",0,"Overall",0,0.375909759633382,0.401244038979888,105,40,22,40
"170","2021","GE","TP1",0,"Overall",2,0.351876268790722,0.320116870201617,208,40,22,40
"171","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.179753179383355,0.319758064516129,31,12,22,40
"172","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.135936697744954,0.0735407755683982,82,12,22,40
"173","2021","GE","TP1",0,"Scala/DH130910",0,0.257749887212359,0.331174089068826,39,15,22,40
"174","2021","GE","TP1",0,"Scala/DH130910",2,0.283247133256139,0.31656728026964,57,15,22,40
"175","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.561010423753217,0.632773109243698,35,13,22,40
"176","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.459881228363452,0.487484134504529,68,13,22,40
"177","2021","GE","TP1",0,"Overall",0,0.38604306002951,0.462046444121916,105,40,23,40
"178","2021","GE","TP1",0,"Overall",2,0.389981954837036,0.424745304905698,208,40,23,40
"179","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.317835034618551,0.369758064516129,31,12,23,40
"180","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.176752051665779,0.14687476192031,82,12,23,40
"181","2021","GE","TP1",0,"Scala/DH130910",0,0.17249744162989,0.295644599303136,41,13,23,40
"182","2021","GE","TP1",0,"Scala/DH130910",2,0.171044648942779,0.239369976665802,57,13,23,40
"183","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.519376646943257,0.509358288770054,33,15,23,40
"184","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.415332285282317,0.509433422107998,68,15,23,40
"185","2021","GE","TP1",0,"Overall",0,0.0861752287451952,0.0543748704126063,105,40,24,40
"186","2021","GE","TP1",0,"Overall",2,0.250582528503974,0.326028390097655,208,40,24,40
"187","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.0763191705046144,0.158730158730159,28,15,24,40
"188","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.217687448351656,0.210544073312219,82,15,24,40
"189","2021","GE","TP1",0,"Scala/DH130910",0,-0.212843198688761,-0.245546558704453,39,15,24,40
"190","2021","GE","TP1",0,"Scala/DH130910",2,0.168680487292906,0.215646875810215,57,15,24,40
"191","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.150347408607692,0.0887405624247729,38,10,24,40
"192","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.118875732991531,0.187294225437255,68,10,24,40
"193","2021","GE","TP1",0,"Overall",0,0.418044576397225,0.384418411776902,105,40,25,40
"194","2021","GE","TP1",0,"Overall",2,0.346643054331737,0.318001898274002,208,40,25,40
"195","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.133689377798139,0.238264738598443,30,13,25,40
"196","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0484532191592625,-0.0458745551310935,82,13,25,40
